Statement,Link,Date,Source,Label
"Videos of Nancy Pelosi from Jan. 6, 2021, show the Capitol attack was staged.",https://www.politifact.com/factchecks/2023/nov/21/instagram-posts/footage-of-nancy-pelosi-on-jan-6-2021-doesnt-prove/,N/A,Instagram posts,false
“Israel has changed their barcode from 729 to 871 … as the public was boycotting Israeli products.”,https://www.politifact.com/factchecks/2023/nov/21/tiktok-posts/no-israel-has-not-changed-its-barcode/,N/A,TikTok posts,false
Video shows that “Troy Nehls FORCES Pete Buttigieg to admit that Biden is unfit to serve.”,https://www.politifact.com/factchecks/2023/nov/21/facebook-posts/did-pete-buttigieg-say-joe-biden-is-unfit-to-serve/,N/A,Facebook posts,false
"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",https://www.politifact.com/factchecks/2023/nov/21/karine-jean-pierre/fact-checking-karine-jean-pierre-on-this-years-tha/,N/A,Karine Jean-Pierre,mostly-true
“New police bodycam footage” of George Floyd’s arrest “changes the narrative”,https://www.politifact.com/factchecks/2023/nov/21/megyn-kelly/this-video-from-george-floyds-death-isnt-new-as-me/,N/A,Megyn Kelly,false
"A ""ghost bus … filled with FBI informants dressed as Trump supporters deployed onto our Capitol on January 6th.”",https://www.politifact.com/factchecks/2023/nov/21/clay-higgins/why-a-republicans-claim-about-ghost-buses-of-fbi-i/,N/A,Clay Higgins,false
"Jim Justice “broke his pledge, raised the gas tax.”",https://www.politifact.com/factchecks/2023/nov/21/alex-mooney/did-jim-justice-break-his-pledge-not-to-hike-taxes/,N/A,Alex Mooney,false
"The federal government and the Federal Reserve were “raising inflation,” something that “had nothing to do with … getting our economy back in line” but rather to fund a “war against a bunch of civilians.”",https://www.politifact.com/factchecks/2023/nov/21/tiktok-posts/debunking-a-tiktok-claim-that-the-government-cause/,N/A,TikTok posts,false
Video shows Israeli soldiers “raising their flag” over al-Shifa hospital in Gaza.,https://www.politifact.com/factchecks/2023/nov/21/instagram-posts/video-shows-israeli-flag-planted-over-boys-school/,N/A,Instagram posts,false
CNN and The Associated Press “admitted” to knowing about Hamas’ Oct. 7 attack in advance but didn’t tell anyone.,https://www.politifact.com/factchecks/2023/nov/20/tiktok-posts/no-the-associated-press-and-cnn-didnt-know-about-h/,N/A,TikTok posts,false
"“Any American who needs $2,000 a month can get it now” thanks to a new government program.",https://www.politifact.com/factchecks/2023/nov/20/facebook-posts/false-the-us-government-isnt-giving-2000-monthly-c/,N/A,Facebook posts,false
These 13 books “have been banned from schools in Florida.”,https://www.politifact.com/factchecks/2023/nov/20/pink/banned-books-in-florida-schools-how-accurate-is-a/,N/A,Pink,barely-true
"""Half of American high school students are not familiar with the Holocaust.""",https://www.politifact.com/factchecks/2023/nov/20/dean-phillips/are-half-of-us-high-school-students-unfamiliar-wit/,N/A,Dean Phillips,barely-true
Florida Gov. Ron DeSantis “did something six months ago” akin to Nikki Haley recruiting Chinese companies to South Carolina.,https://www.politifact.com/factchecks/2023/nov/20/nikki-haley/nikki-haley-distorts-ron-desantis-chinese-recruitm/,N/A,Nikki Haley,false
Princess Diana “is still alive” and “possibly could be with Trump.”,https://www.politifact.com/factchecks/2023/nov/17/viral-image/princess-diana-died-in-1997-a-conspiracy-theory-th/,N/A,Viral image,pants-fire
Video shows “Elon Musk and the Dubai billionaire have unveiled new software called ‘Quantum AI.’”,https://www.politifact.com/factchecks/2023/nov/17/facebook-posts/more-fake-quantum-ai-claims-about-elon-musk-spread/,N/A,Facebook posts,false
“Footage from Israeli helicopter shows the IDF killing many people at October 7 concert in Israel.”,https://www.politifact.com/factchecks/2023/nov/17/stew-peters/no-this-video-doesnt-show-israeli-military-killing/,N/A,Stew Peters,false
Billboard in New York City shows “Stand with Israel” ad replacing “Stand with Ukraine” ad.,https://www.politifact.com/factchecks/2023/nov/17/instagram-posts/new-york-city-billboard-ad-showing-stand-with-isra/,N/A,Instagram posts,false
Video shows President Joe Biden falling “on the plane stairs shortly after landing in Poland.”,https://www.politifact.com/factchecks/2023/nov/17/viral-image/video-doesnt-show-president-joe-biden-falling-down/,N/A,Viral image,false
"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",https://www.politifact.com/factchecks/2023/nov/17/francesca-hong/wis-lawmaker-says-us-house-speaker-opposes-social/,N/A,Francesca Hong,barely-true
Ron DeSantis “wants to cut Social Security and Medicare.”,https://www.politifact.com/factchecks/2023/nov/16/desantis-watch/does-gov-ron-desantis-want-to-cut-social-security/,N/A,DeSantis Watch,barely-true
“Abraham Lincoln challenged a guy to a sword fight.”,https://www.politifact.com/factchecks/2023/nov/16/markwayne-mullin/did-abraham-lincoln-challenge-a-rival-to-a-sword-f/,N/A,Markwayne Mullin,half-true
"""El representante oficial de las fuerzas armadas de Yemen ha declarado oficialmente la guerra a Israel"".",https://www.politifact.com/factchecks/2023/nov/16/facebook-posts/yemen-no-declaro-la-guerra-a-israel-grupo-rebelde/,N/A,Facebook posts,false
Fox News reported that Stormy Daniels admitted having a ‘business relationship’ with Speaker Mike Johnson.,https://www.politifact.com/factchecks/2023/nov/16/tweets/post-alleging-business-relationship-between-stormy/,N/A,X posts,false
Former President Donald Trump “just told everyone he is commander in chief.”,https://www.politifact.com/factchecks/2023/nov/15/viral-image/hail-to-the-commander-in-chief-its-president-joe-b/,N/A,Viral image,false
Photo shows “Pfizer CEO Albert Bourla wearing a mask in November 2023.”,https://www.politifact.com/factchecks/2023/nov/15/viral-image/old-photo-of-pfizer-ceo-albert-bourla-wearing-a-ma/,N/A,Viral image,false
"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",https://www.politifact.com/factchecks/2023/nov/15/viral-image/no-the-first-lady-didnt-say-president-joe-biden-is/,N/A,Viral image,pants-fire
"“Last year alone, natural disasters in America caused $178 billion in damages.”",https://www.politifact.com/factchecks/2023/nov/15/joe-biden/fact-checking-joe-biden-on-us-disaster-costs/,N/A,Joe Biden,mostly-true
Rise in U.S. infant mortality rate connected to COVID-19 vaccines.,https://www.politifact.com/factchecks/2023/nov/15/instagram-posts/infant-mortality-rates-up-for-first-time-in-20-yea/,N/A,Instagram posts,false
“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,https://www.politifact.com/factchecks/2023/nov/15/eric-ager/was-nc-election-map-drawn-in-secret-by-a-consultan/,N/A,Eric Ager,mostly-true
"New Hampshire has “a worse drug problem per capita than any other state.""",https://www.politifact.com/factchecks/2023/nov/15/donald-trump/west-virginia-not-new-hampshire-has-the-highest-dr/,N/A,Donald Trump,false
"“Just like the Cuban regime, the Biden administration is trying to put their political opponents in jail, shutting down free speech.”",https://www.politifact.com/factchecks/2023/nov/15/donald-trump/the-criminal-prosecutions-against-trump-are-not-ju/,N/A,Donald Trump,false
“Kids who don’t even know what day it is or their colors can decide to permanently change themselves” through medical gender transition.,https://www.politifact.com/factchecks/2023/nov/15/robin-vos/wis-lawmakers-claim-claim-that-young-children-can/,N/A,Robin Vos,false
"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",https://www.politifact.com/factchecks/2023/nov/15/vivek-ramaswamy/ramaswamy-misses-details-in-debate-story-about-des/,N/A,Vivek Ramaswamy,half-true
Looking at “American aid to other countries … the vast majority of it is military aid.”,https://www.politifact.com/factchecks/2023/nov/14/marianne-williamson/us-military-aid-isnt-a-majority-of-foreign-assista/,N/A,Marianne Williamson,false
"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",https://www.politifact.com/factchecks/2023/nov/14/marianne-williamson/marianne-williamson-correct-that-us-is-worlds-bigg/,N/A,Marianne Williamson,true
“We produce a lot more wind energy in Texas than California does.”,https://www.politifact.com/factchecks/2023/nov/14/ted-cruz/does-texas-really-outproduce-california-in-wind-en/,N/A,Ted Cruz,true
"Quotes House Speaker Mike Johnson as saying, “Every woman has a duty to birth at least one able-bodied worker.”",https://www.politifact.com/factchecks/2023/nov/13/instagram-posts/instagram-post-inaccurately-quotes-house-speaker-m/,N/A,Instagram posts,false
"On Nov. 7, 2023, Pennsylvania voting machines were “flipping votes,” which is evidence of “election fraud.”",https://www.politifact.com/factchecks/2023/nov/11/instagram-posts/pennsylvania-voting-machine-error-did-not-reveal-e/,N/A,Instagram posts,false
“There is a serial killer in Cincinnati.” Seven bodies were found “chopped up.”,https://www.politifact.com/factchecks/2023/nov/10/facebook-posts/no-evidence-of-a-serial-killer-in-cincinnati-polic/,N/A,Facebook posts,false
A “B-2 stealth bomber seen over New York” means “Hezbollah may declare war on Israel.”,https://www.politifact.com/factchecks/2023/nov/10/tiktok-posts/a-stealth-bomber-recently-spotted-in-new-york-is-u/,N/A,TikTok posts,pants-fire
New York’s fraud case against Trump “has nothing to do with his home in Mar-a-Lago.”,https://www.politifact.com/factchecks/2023/nov/10/facebook-posts/claim-that-new-york-fraud-case-is-unrelated-to-tru/,N/A,Facebook posts,false
Video muestra gente en Gaza en 2023 maquillándose heridas.,https://www.politifact.com/factchecks/2023/nov/10/facebook-posts/un-video-no-muestra-a-maquilladores-y-actores-fing/,N/A,Facebook posts,false
Video shows Ontario Premier Doug Ford promoting Elon Musk’s “latest project.”,https://www.politifact.com/factchecks/2023/nov/10/viral-image/altered-video-appears-to-show-canadian-politician/,N/A,Viral image,false
“Jews did 9/11.”,https://www.politifact.com/factchecks/2023/nov/10/instagram-posts/al-qaida-terrorists-were-responsible-for-sept-11-a/,N/A,Instagram posts,pants-fire
Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,https://www.politifact.com/factchecks/2023/nov/09/instagram-posts/video-showing-joe-rogan-talking-about-disneyland-c/,N/A,Instagram posts,pants-fire
"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",https://www.politifact.com/factchecks/2023/nov/09/chris-christie/fact-checking-chris-christie-on-us-security-obliga/,N/A,Chris Christie,barely-true
Mel Gibson posted about “the end” of Israel and said the country wants “to destroy everything in the way.”,https://www.politifact.com/factchecks/2023/nov/09/viral-image/no-mel-gibson-didnt-post-about-the-end-of-israel/,N/A,Viral image,false
Video shows someone wearing a Donald Trump mask appeared in court instead of the former president.,https://www.politifact.com/factchecks/2023/nov/09/viral-image/donald-trump-recently-testified-in-his-civil-fraud/,N/A,Viral image,pants-fire
Elon Musk is dead.,https://www.politifact.com/factchecks/2023/nov/09/viral-image/social-media-reports-of-elon-musks-death-are-great/,N/A,Viral image,false
Video shows TV personalities promoting a diabetes cure.,https://www.politifact.com/factchecks/2023/nov/09/viral-image/altered-videos-appear-to-show-wolf-blitzer-dr-mehm/,N/A,Viral image,false
Videos show singer Kelly Clarkson promoting diet products.,https://www.politifact.com/factchecks/2023/nov/09/viral-image/singer-kelly-clarkson-keeps-appearing-in-videos-pr/,N/A,Viral image,false
“Taylor Swift pulls ‘Eras’ film screenings in Israel.”,https://www.politifact.com/factchecks/2023/nov/09/viral-image/taylor-swift-fans-in-israel-can-still-see-the-eras/,N/A,Viral image,false
"""Acapulco destroyed by yet another directed weather attack!”",https://www.politifact.com/factchecks/2023/nov/09/instagram-posts/blame-mother-nature-not-mexican-government-on-hurr/,N/A,Instagram posts,pants-fire
Wisconsin elections administrator Meagan Wolfe “refuses to clean up our voter rolls”,https://www.politifact.com/factchecks/2023/nov/08/wisconsin-election-committee-inc/claim-that-wis-elections-official-meagan-wolfe-ref/,N/A,"Wisconsin Election Committee, Inc .",pants-fire
Wisconsin elections administrator Meagan Wolfe “allowed for the use of illegal drop boxes and ballot harvesting.”,https://www.politifact.com/factchecks/2023/nov/08/wisconsin-election-committee-inc/claim-that-wisconsin-official-meagan-wolfe-allowed/,N/A,"Wisconsin Election Committee, Inc .",false
Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,https://www.politifact.com/factchecks/2023/nov/08/wisconsin-election-committee-inc/claim-that-wis-elections-official-meagan-wolfe-per/,N/A,"Wisconsin Election Committee, Inc .",pants-fire
“Protesters in Kerala India accidentally brought the Italian flag instead of the Palestine flag to pro-Hamas protest.”,https://www.politifact.com/factchecks/2023/nov/08/viral-image/pro-palestinian-protest-video-shows-flags-of-an-in/,N/A,Viral image,false
New York Attorney General Letitia James said President Joe Biden “is an embarrassment to all that we stand for.”,https://www.politifact.com/factchecks/2023/nov/08/facebook-posts/no-this-video-doesnt-show-new-york-attorney-genera/,N/A,Facebook posts,false
“NASA admits space and planets are fake.”,https://www.politifact.com/factchecks/2023/nov/08/viral-image/no-nasa-didnt-admit-space-and-planets-are-fake/,N/A,Viral image,pants-fire
Video shows late night host Jimmy Fallon interviewing singer Kelly Clarkson about a weight loss product.,https://www.politifact.com/factchecks/2023/nov/08/viral-image/altered-video-appears-to-show-jimmy-fallon-intervi/,N/A,Viral image,false
Video shows California Gov. Gavin Newsom falling down airplane stairs.,https://www.politifact.com/factchecks/2023/nov/08/viral-image/no-gov-gavin-newsom-cant-be-seen-slipping-down-air/,N/A,Viral image,false
"“Only in Washington can you cut funding, add a pay-for to a new spending measure, and they say it's terrible for the deficit.”",https://www.politifact.com/factchecks/2023/nov/07/mike-johnson/can-the-federal-government-spend-less-yet-still-se/,N/A,Mike Johnson,false
"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",https://www.politifact.com/factchecks/2023/nov/07/joe-biden/did-americans-lose-the-farm-fact-checking-joe-bide/,N/A,Joe Biden,mostly-true
Video shows Hoda Kotb interviewing Kelly Clarkson about “her weight loss journey.”,https://www.politifact.com/factchecks/2023/nov/07/viral-image/altered-videos-appear-to-show-kelly-clarkson-today/,N/A,Viral image,false
Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,https://www.politifact.com/factchecks/2023/nov/07/rachael-cabral-guevara/cabral-guevara-says-some-wisconsin-child-care-prov/,N/A,"Rachael Cabral-Guevara,",mostly-true
Video shows “Israel Zionist blowing up people in hospitals” in 2023.,https://www.politifact.com/factchecks/2023/nov/07/viral-image/video-does-not-show-israel-bombing-hospitals-foota/,N/A,Viral image,false
Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,https://www.politifact.com/factchecks/2023/nov/07/viral-image/president-joe-biden-not-an-impersonator-visited-is/,N/A,Viral image,pants-fire
Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,https://www.politifact.com/factchecks/2023/nov/07/instagram-posts/altered-photo-of-actor-courteney-cox-is-not-eviden/,N/A,Instagram posts,pants-fire
"Photo shows “American soldiers praying for their country, for Israel before being deployed to defend Israel” in 2023.",https://www.politifact.com/factchecks/2023/nov/06/facebook-posts/photo-does-not-depict-us-soldiers-praying-before-b/,N/A,Facebook posts,false
Ukrainian President Volodymyr Zelenskyy “has surrendered.”,https://www.politifact.com/factchecks/2023/nov/06/instagram-posts/no-ukrainian-president-volodymyr-zelenskyy-hasnt-s/,N/A,Instagram posts,false
Israel bombed Palestinian children trying to get water.,https://www.politifact.com/factchecks/2023/nov/06/tiktok-posts/video-of-bomb-strike-on-crowd-is-from-sudan-confli/,N/A,TikTok posts,false
Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”,https://www.politifact.com/factchecks/2023/nov/03/protect-women-ohio/no-evidence-that-ohios-issue-1-would-allow-for-lat/,N/A,Protect Women Ohio,false
“Because of our economic policies we now are reducing inflation.”,https://www.politifact.com/factchecks/2023/nov/03/kamala-harris/do-bidens-policies-get-the-credit-for-the-decline/,N/A,Kamala Harris,barely-true
1936 in the United States was “much hotter than 2023.”,https://www.politifact.com/factchecks/2023/nov/03/facebook-posts/its-getting-hot-in-here-the-us-is-warmer-now-than/,N/A,Facebook posts,false
